설비 사이트 코드,공정 코드,계획 수량
총합계,총합계,9391255
S관(3공장),[20]분리,2038469
S관(3공장),[10]사출조립,1951436
S관(3공장),[55]접착/멸균,1836037
S관(3공장),[45]하이드레이션/전면검사,1801512
S관(3공장),[80]누수/규격검사,1763801
