공장,공정,생산일자,양품
C관(2공장),접착,2026-06-13,665484.0
C관(2공장),접착,2026-06-14,2213.0
C관(2공장),하이드레이션,2026-06-01,795750.0
C관(2공장),하이드레이션,2026-06-02,789930.0
C관(2공장),하이드레이션,2026-06-03,758480.0
C관(2공장),하이드레이션,2026-06-04,750995.0
C관(2공장),하이드레이션,2026-06-05,809745.0
C관(2공장),하이드레이션,2026-06-06,626755.0
C관(2공장),하이드레이션,2026-06-07,602600.0
C관(2공장),하이드레이션,2026-06-08,619700.0
C관(2공장),하이드레이션,2026-06-09,648690.0
C관(2공장),하이드레이션,2026-06-10,653403.0
C관(2공장),하이드레이션,2026-06-11,546395.0
C관(2공장),하이드레이션,2026-06-12,743890.0
C관(2공장),하이드레이션,2026-06-13,621335.0
C관(2공장),하이드레이션,2026-06-14,16370.0
S관(3공장),누수규격,2026-06-01,121815.0
S관(3공장),누수규격,2026-06-02,131795.0
S관(3공장),누수규격,2026-06-03,150540.0
S관(3공장),누수규격,2026-06-04,118865.0
S관(3공장),누수규격,2026-06-05,200645.0
S관(3공장),누수규격,2026-06-06,190035.0
S관(3공장),누수규격,2026-06-07,136450.0
S관(3공장),누수규격,2026-06-08,137045.0
S관(3공장),누수규격,2026-06-09,140070.0
S관(3공장),누수규격,2026-06-10,138500.0
S관(3공장),누수규격,2026-06-11,193785.0
S관(3공장),누수규격,2026-06-12,160890.0
S관(3공장),누수규격,2026-06-13,116710.0
S관(3공장),누수규격,2026-06-14,5480.0
S관(3공장),분리,2026-06-01,192646.0
S관(3공장),분리,2026-06-02,125104.0
S관(3공장),분리,2026-06-03,197204.0
S관(3공장),분리,2026-06-04,209653.0
S관(3공장),분리,2026-06-05,162573.0
S관(3공장),분리,2026-06-06,118818.0
S관(3공장),분리,2026-06-07,128009.0
S관(3공장),분리,2026-06-08,137770.0
S관(3공장),분리,2026-06-09,155562.0
S관(3공장),분리,2026-06-10,156060.0
S관(3공장),분리,2026-06-11,179972.0
S관(3공장),분리,2026-06-12,165217.0
S관(3공장),분리,2026-06-13,149271.0
S관(3공장),분리,2026-06-14,0.0
S관(3공장),사출,2026-06-01,271696.0
S관(3공장),사출,2026-06-02,220929.0
S관(3공장),사출,2026-06-03,247558.0
S관(3공장),사출,2026-06-04,280423.0
S관(3공장),사출,2026-06-05,194217.0
S관(3공장),사출,2026-06-06,251649.0
